word,definition,example
nine,The cardinal number that is the sum of eight and one.,"They guaranteed that our Web site would have 99.99% uptime, or four nines."
nineteen,The cardinal number that is the sum of eighteen and one.,
ninety,The cardinal number that is the product of ten and nine.,
no,A negative.,his no was loud and clear
no one,"Used in contrast to anyone, someone or everyone: not one person; nobody.",We went to the store but no one was there.
nobility,A privileged class holding hereditary titles.,
noble,A titled peer of the realm.,This country house was occupied by nobles in the 16th century.
nobleman,A titled peer of the realm.,
nobody,A person of no influence.,"Whether you're a nobody or a player, everyone in Tinseltown wants to be King of Hollywood! - Conquering Hollywood"
nod,A sign of assent or salutation or command.,"For the fifth time in her career she received a Grammy nod, she has yet to win the award."
noise,Sound of any kind (especially unintelligible or dissonant sound).,he enjoyed the street noises
noisily,With much noise or loud and unpleasant sound.,he blew his nose noisily
noisy,Full of or characterized by loud and nonmusical sounds.,a noisy cafeteria
nomad,A member of a people who have no permanent home but move about according to the seasons.,
nomination,The act of officially naming a candidate.,the Republican nomination for Governor
nominee,A politician who is running for public office.,
none,A canonical hour that is the ninth hour of the day counting from sunrise.,I felt none the worse for my recent illness.
nonetheless,Despite anything to the contrary (usually following a concession).,"although I'm a little afraid, however I'd like to try it"
nonprofessional,Not professional; not engaged in a profession or engaging in as a profession or for gain.,the nonprofessional wives of his male colleagues
nonsense,A message that seems to convey no meaning.,"After my father had a stroke, every time he tried to talk, it sounded like nonsense."
non-smoking,Having restrictions on smoking.,We want a table in the non-smoking sector.
noon,The middle of the day.,"1885, When night was at its noon I heard a voice chanting the Koran in sweetest accents — Sir Richard Burton, The Book of the Thousand Nights and One Night, Night 17:"
nor,"And not (introducing a negative statement, without necessarily following one).","Nor did I stop to think, but ran."
normal,Something regarded as a normative example.,the convention of not naming the main character
normally,Under normal conditions.,usually she was late
north,The region of the united states lying to the north of the mason-dixon line.,Minnesota is in the north of the USA.
northeast,The compass point midway between north and east; at 45 degrees.,
northeastern,Situated in or oriented toward the northeast.,the northeasterly part of the island
northern,A dialect of middle english that developed into scottish lallans.,Les Dawson was a famous northern comedian.
northward,The cardinal compass point that is at 0 or 360 degrees.,
northwest,The northwestern region of the united states.,
northwestern,Situated in or oriented toward the northwest.,
nose,The organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals.,he has a cold in the nose
nostril,Either one of the two external openings to the nasal cavity in the nose.,
not,Negation of a word or group of words.,he does not speak French
note,A brief written record.,he made a note of the appointment
notebook,A book with blank pages for recording notes or memoranda.,
nothing,A quantity of no importance.,it looked like nothing I had ever seen before
notice,"An announcement containing information about an event; ; ; ""a notice of sale.",you didn't give me enough notice
noticeable,Capable or worthy of being perceived.,noticeable shadows under her eyes
noticeboard,"A board, hanging on a wall, on which notices and announcements are posted.",
notion,A vague idea in which some confidence is placed.,his impression of her was favorable
notorious,Known widely and usually unfavorably.,a notorious gangster
nought,A mathematical element that when added to another number yields the same number.,0.4 — nought point four / zero point four
noun,"A content word that can be used to refer to a person, place, thing, quality, or action.",
nourish,Provide with nourishment.,We sustained ourselves on bread and water
nourishment,A source of materials to nourish the body.,
novel,An extended fictional work in prose; usually in the form of a story.,
novelist,One who writes novels.,
novelty,Originality by virtue of being refreshingly novel.,
November,The month following october and preceding december.,
now,The momentary present.,Now is a good time to do it
nowadays,The period of time that is happening now; any continuous stretch of time including the moment of speech.,that is enough for the present
nowhere,An insignificant place.,he came out of nowhere
nuclear,(weapons) deriving destructive energy from the release of atomic energy.,nuclear war
nucleus,A part of the cell containing dna and rna and responsible for growth and reproduction.,This collection will form the nucleus of a new library.
nuisance,(law) a broad legal concept including anything that disturbs the reasonable use of your property or endangers life and health or is offensive.,a public nuisance
number,The property possessed by a sum or total or indefinite quantity of units or individuals.,he had a number of chores to do
numerical,Measured or expressed in numbers.,numerical value
numerous,Amounting to a large indefinite number.,numerous times
nurse,One skilled in caring for young children or the sick (usually under the supervision of a physician).,They hired a nurse to care for their young boy.
nursery,A child's room for a baby.,Commerce is the nursery of seamen.
nut,Usually large hard-shelled seed.,"There are many sort of nuts: peanuts, cashews, pistachios, Brazil nuts and more."
nutrient,Any substance that can be metabolized by an animal to give energy and build tissue.,
nutrition,(physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance.,
nutritious,Of or providing nourishment.,good nourishing stew
nutshell,The shell around the kernel of a nut.,
oak,The hard durable wood of any oak; used especially for furniture and flooring.,"an oak table, oak beam, etc"
oath,Profane or obscene expression usually of surprise or anger.,expletives were deleted
obedience,The act of obeying; dutiful or submissive behavior with respect to another person.,Obedience is essential in any army.
obedient,Dutifully complying with the commands or instructions of those in authority; ; ; ; - edmund burke.,an obedient soldier
obey,Be obedient to.,
obituary,A notice of someone's death; usually includes a short biography.,
object,A tangible and visible entity; an entity that can cast a shadow.,"it was full of rackets, balls and other objects"
objection,The act of expressing earnest opposition or protest.,I have no objection to any person's religion.
objective,The goal intended to be attained (and which is believed to be attainable).,the sole object of her trip was to see her children
obligation,The social force that binds you to the courses of action demanded by that force; ; - john d.rockefeller jr.,we must instill a sense of duty in our children
observation,The act of making and recording a measurement.,
observe,"Discover or determine the existence, presence, or fact of.",She detected high levels of lead in her drinking water
observer,A person who becomes aware (of things or events) through the senses.,Most impartial observers agreed that Sampras had not served well.
obsess,Haunt like a ghost; pursue.,Fear of illness haunts her
obsession,"An irrational motive for performing trivial or repetitive actions, even against your will.",her compulsion to wash her hands repeatedly
obsessive,A person who has obsessions.,"The idea is too tempting, it's obsessive."
obstacle,Something immaterial that stands in the way and must be circumvented or surmounted.,lack of imagination is an obstacle to one's advancement
obtain,Come into possession of.,How did you obtain the visa?
obvious,Easily perceived by the senses or grasped by the mind.,obvious errors
obviously,Unmistakably (`plain' is often used informally for `plainly').,the answer is obviously wrong
occasion,An event that occurs at a critical time.,at such junctures he always had an impulse to leave
occasional,Occurring from time to time.,took an occasional glass of wine
occasionally,Now and then or here and there.,he was arrogant and occasionally callous
occupation,The principal activity in your life that you do to earn money.,he's not in my line of business
occupy,Keep busy with.,She busies herself with her butterfly collection
occur,Come to pass.,What is happening?
ocean,A large body of water constituting a principal part of the hydrosphere.,The island is surrounded by ocean
o'clock,According to the clock.,it's three o'clock in Tokyo now
October,The month following september and preceding november.,
odd,Not divisible by two.,So let's see. There are two evens here and three odds.
of,Expressing distance or motion.,
off,Kill intentionally and with premeditation.,The mafia boss ordered his enemies murdered
offend,Cause to feel resentment or indignation.,Her tactless remark offended me
offender,A person who transgresses moral or civil law.,
offense/offence,A lack of politeness; a failure to show regard for others; wounding the feelings or others.,
offensive,The action of attacking an enemy.,The Marines today launched a major offensive.
offer,The verbal act of offering.,a generous offer of assistance
offhand,With little or no preparation or forethought.,his ad-lib comments showed poor judgment
office,Place of business where professional or clerical duties are performed.,he rented an office in the new building
officer,Any person in the armed services who holds a position of authority or command.,an officer is responsible for the lives of his men
official,A worker who holds or is invested with an office.,David Barnes was the official charged with the running of the sports club.
officially,In an official role.,"officially, he is in charge"
offshore,(of winds) coming from the land.,offshore winds
often,Many times at short intervals.,we often met over a cup of coffee
oil,A slippery or viscous liquid or liquefiable substance not miscible with water.,I prefer to paint in oil
oily,Containing an unusual amount of grease or oil.,greasy hamburgers
ointment,Semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation.,
OK/okay,A state in south central united states.,Do you think it's OK to stay here for the night?
old,Past times (especially in the phrase `in days of old').,A civilised society should always look after the old in the community.
old-fashioned,Out of fashion.,a suit of rather antique appearance
olive,Small ovoid fruit of the european olive tree; important food and source of oil.,a beef olive
olive oil,"A vegetable oil, pressed from olives, and used in cooking and as a salad dressing; it is high in unsaturated fatty acids.",
Olympia,Capital of the state of washington; located in western washington on puget sound.,
Olympiad,One of the four-year intervals between olympic games; used to reckon time in ancient greece for twelve centuries beginning in 776 bc.,
Olympic,Of or relating to the olympic games.,Olympic winners
Olympics,The modern revival of the ancient games held once every 4 years in a selected country.,
omelet/omelette,Beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly.,
on,In operation or operational.,left the oven on
once,On one occasion.,once I ran into her
one,The smallest whole number or a numeral representing this number.,he has the one but will need a two and three to go with it
oneself,"A person's self: general form of himself, herself, themself or yourself.",Teaching oneself to swim can be dangerous.
onion,The bulb of an onion plant.,
online,On a regular route of a railroad or bus or airline system.,on-line industries
only,Being the only one; single and isolated from others.,the lone doctor in the entire county
onstage,Situated or taking place on the area of a stage visible to the audience.,
onto/on to,(of a function) Assuming each of the values in its codomain; having its range equal to its codomain.,"Considered as a function on the real numbers, the exponential function is not onto."
open,A clear or unobstructed space or expanse of land or water.,finally broke out of the forest into the open
opening,An open or empty space in or between things.,there was a small opening between the trees
openly,In an open way.,he openly flaunted his affection for his sister
opera,A drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes.,
operate,"Direct or control; projects, businesses, etc.",She is running a relief operation in the Sudan
operation,The state of being in effect or being operative.,that rule is no longer in operation
operator,(mathematics) a symbol or function representing a mathematical operation.,"In the sentence ""What did Bill say he wants to buy?"", ""what"" is an operator, binding a phonetically empty variable."
opinion,A personal belief or judgment that is not founded on proof or certainty.,my opinion differs from yours
opponent,A contestant that you are matched against.,"During the crackdown, many opponents of the regime were arrested."
opportunity,A possibility due to a favorable combination of circumstances.,the holiday gave us the opportunity to visit Washington
oppose,Be against; express opposition to.,We oppose the ban on abortion
opposite,"A word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other.",to him the antonym of `gay' was `depressed'
opposition,The action of opposing something that you disapprove or disagree with.,he encountered a general feeling of resistance from many citizens
oppress,Come down on or keep down by unjust use of one's authority.,The government oppresses political activists
oppression,The act of subjugating by cruelty.,the tyrant's oppression of the people
optimism,The optimistic feeling that all is going to turn out well.,"I love her youth, her beauty and above all her optimism that everything will turn out fine."
optimist,A person disposed to take a favorable view of things.,
optimistic,Expecting the best in this best of all possible worlds.,in an optimistic mood
option,The right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited.,"The new novel was optioned by the film studio, but they'll probably never decide to make a movie from it."
optional,Possible but not necessary; left to personal choice.,On that beach clothing is entirely optional.
or,A state in northwestern united states on the pacific.,"He might get cancer, or be hit by a bus, or God knows what."
oral,An examination conducted by spoken communication.,We've got our Spanish oral tomorrow.
orange,Round yellow to orange fruit of any of several citrus trees.,
orator,A person who delivers a speech or oration.,
orbit,The (usually elliptical) path described by one celestial body in its revolution about another.,he plotted the orbit of the moon
orchestra,A musical organization consisting of a group of instrumentalists including string players.,
orchestral,Relating to or composed for an orchestra.,orchestral score
orchid,Any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors.,
order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed.",the British ships dropped anchor and waited for orders from London
orderly,A soldier who serves as an attendant to a superior officer.,the orderly laid out the general's uniform
ordinary,A judge of a probate court.,"On an ordinary day I wake up at nine o'clock, work for six hours, and then go to the gym."
organ,A fully differentiated structural and functional unit in an animal that is specialized for some particular function.,bodily organs
organic,A fertilizer that is derived from animal or vegetable matter.,The writing of the script was an organic process.
organism,A living thing that has (or can develop) the ability to act or function independently.,
organization/organisation,A group of people who work together.,"This painting shows little organization at first glance, but little by little the structure becomes clear."
organize/organise,Create (as an entity).,social groups form everywhere
organized/organised,Create (as an entity).,social groups form everywhere
organizer/organiser,A person who brings order and organization to an enterprise.,she was the organizer of the meeting
origin,"The place where something begins, where it springs into being.",the Italian beginning of the Renaissance
original,"An original creation (i.e., an audio recording) from which copies can be made.",This manuscript is the original.
originality,The ability to think and act independently.,
originally,In an original manner.,"Originally, this paper was white, but over the years it has yellowed with age."
originate,Come into existence; take on form or shape.,A new religious movement originated in that country
ornament,Something used to beautify.,We will ornament the windows with trim to make the room seem brighter.
orphan,A child who has lost both parents.,What do you do when you come across two orphaned polar bear cubs?
other,Not the same one or ones already mentioned or implied; - the white queen.,today isn't any other day
otherwise,Other than as supposed or expected.,the outcome was otherwise
ought to,,
ounce,A unit of apothecary weight equal to 480 grains or one twelfth of a pound.,He didn't feel even an ounce of regret for his actions.
our,,
ours,"That which belongs to us; the possessive case of we, used without a following noun.",
ourselves,(reflexive pronoun) Us; the group including the speaker as the object of a verb or preposition when that group also is the subject.,We should keep this for ourselves.
out,(baseball) a failure by a batter or runner to reach a base safely in baseball.,you only get 3 outs per inning
out of,"Expressing motion away, literal or figurative; opposed to into.",I laughed out of embarrassment.
outback,The bush country of the interior of australia.,
outbreak,A sudden violent spontaneous occurrence (usually of some undesirable condition).,the outbreak of hostilities
outcome,Something that results.,he listened for the results on the radio
outdistance,Go far ahead of.,He outdistanced the other runners
outdo,Be or do something to a greater degree.,her performance surpasses that of any other student I know
outdoor,"Located, suited for, or taking place in the open air.",outdoor clothes
outdoors,Where the air is unconfined.,he wanted to get outdoors a little
outer,Being on the outside or further from a center.,spent hours adorning the outer man
outfit,Any cohesive unit such as a military company.,She wore a fashionable outfit with matching purse and shoes.
outgrow,Grow too large or too mature for.,I have outgrown these clothes
outing,A journey taken for pleasure.,many summer excursions to the shore
outlaw,Someone who has committed a crime or has been legally convicted of a crime.,The main character in the play was a bit of an outlaw who refused to shake hands or say thank you.
outlet,A place of business for retailing goods.,
outline,The line that appears to bound an object.,the outline of a speech
outlive,Live longer than.,She outlived her husband by many years
outlook,A habitual or characteristic mental attitude that determines how you will interpret and respond to situations.,Perched on the edge of the cliff was a hidden outlook.
out-of-date,Old; no longer valid or fashionable.,obsolete words
outpatient,A patient who does not reside in the hospital where he is being treated.,
output,Final product; the things produced.,The factory increased its output this year.
outrage,A feeling of righteous anger.,
outrageous,Grossly offensive to decency or morality; causing horror.,subjected to outrageous cruelty
outshine,Shine brighter than.,What star outshines the sun?
outside,The region that is outside of something.,He's repainting the outside of his house.
outsider,Someone who is excluded from or is not a member of a group.,"While the initiated easily understand the symbols, they are wholly inaccessible to outsiders."
outskirts,Outlying areas (as of a city or town).,they lived on the outskirts of Houston
outstanding,Distinguished from others in excellence.,did outstanding work in human relations
outward,Relating to physical reality rather than with thoughts or the mind.,a concern with outward beauty rather than with inward reflections
outwardly,With respect to the outside.,"outwardly, the figure is smooth"
outweigh,Be heavier than.,
oval,A closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it.,the sums of the distances from the foci to any point on an ellipse is constant
oven,Kitchen appliance used for baking or roasting.,
over,(cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch.,He overed the fence in good style.
overall,(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps).,"Overall, there is not enough evidence to form a clear conclusion."
overboard,To extremes.,he went overboard to please his in-laws
overbook,To sell or guarantee more seats for (an event) than actually exist.,
overcoat,A heavy coat worn over clothes in winter.,
overcome,Win a victory over.,You must overcome all difficulties
overemphasize/overemphasise,Place special or excessive emphasis on.,I cannot overemphasize the importance of this book
overestimate,An appraisal that is too high.,"I overestimated the number of attendees, and bought far too much food for the party."
overhear,"Hear, usually without the knowledge of the speakers.",We overheard the conversation at the next table
overjoyed,Cause to feel extremely joyful or happy.,the economic growth overjoyed the German industry
overlap,A representation of common ground between theories or phenomena.,there was no overlap between their proposals
overlook,A high place affording a good view.,Our hotel room overlooks the lake.
overly,To a degree exceeding normal or proper limits.,too big
overnight,"Lasting, open, or operating through the whole night.",a nightlong vigil
overseas,In a foreign country.,markets abroad
overshadow,Be greater in significance than.,the tragedy overshadowed the couple's happiness
oversize,Larger than normal for its kind.,
overstep,Pass beyond (limits or boundaries).,That color scheme really oversteps the bounds of good taste.
overtake,Catch up with and possibly overtake.,The Rolls Royce caught us near the exit ramp
overthrow,The termination of a ruler or institution (especially by force).,"I hate the current government, but not enough to want to overthrow them."
overtime,Work done in addition to regular working hours.,Workers are usually paid extra for working overtime.
overturn,The act of upsetting something.,he was badly bruised by the upset of his sled at a high speed
overweight,The property of excessive fatness.,Apple common stock is one of our overweights.
overwhelm,"Overcome, as with emotions or perceptual stimuli.",The dinghy was overwhelmed by the great wave.
overwhelming,"Overcome, as with emotions or perceptual stimuli.",The dinghy was overwhelmed by the great wave.
overwork,The act of working too much or too long.,he became ill from overwork
ow,An expression of one's own physical pain.,Ouch! You stepped on my toe! That hurt!
owe,Be obliged to pay or repay.,
owing,Be obliged to pay or repay.,These seven subscriptions remain owing.
owing to,"Because of, on account of.",I gave up my job as a typist owing to repetitive strain injury.
owl,Nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes.,
own,Have ownership or possession of.,He owns three houses in Florida
owner,(law) someone who owns (is legal possessor of) a business.,he is the owner of a chain of restaurants
ox,An adult castrated bull of the genus bos; especially bos taurus.,
oxygen,A nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust.,
ozone,A colorless gas (o3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation).,
p.m./P.M./pm/PM,After noon.,
pa,An informal term for a father; probably derived from baby talk.,
pace,The rate of moving (especially walking or running).,
pacific,The largest ocean in the world.,
pack,A large indefinite number.,a battalion of ants
package,A collection of things wrapped or boxed together.,Did you test the software package to ensure completeness?
packed,Arrange in a container.,pack the books into the boxes
packet,A collection of things wrapped or boxed together.,Don't throw the crisp packet on the floor!
packing,Any material used especially to protect something.,to pack a horse
pad,A number of sheets of paper fastened together along one edge.,"May 21, 2008, Austin American-Statesman"
paddle,Small wooden bat with a flat surface; used for hitting balls in various games.,We had a nice paddle this morning.
page,One side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains.,the page of history
paid,"Give money, usually in exchange for goods or services.",I paid four dollars for this sandwich
pain,A symptom of some physical hurt or disorder.,the patient developed severe pain and distension
painful,Causing physical or psychological pain.,worked with painful slowness
paint,A substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating.,artists use `paint' and `pigment' interchangeably
paintbrush,A brush used as an applicator (to apply paint).,
painter,An artist who paints.,
painting,Graphic art consisting of an artistic composition made by applying paints to a surface.,a small painting by Picasso
pair,A set of two similar things considered as a unit.,"I couldn't decide which of the pair of designer shirts I preferred, so I bought the pair."
pajamas/pyjamas,A pair of loose trousers tied by a drawstring around the waist; worn by men and women in some asian countries.,
pal,A close friend who accompanies his buddies in their activities.,Little Timmy's out playing with his pals.
palace,A large and stately mansion.,
pale,A wooden strip forming part of a fence.,I have pale yellow wallpaper.
pallet,The range of colour characteristic of a particular artist or painting or school of art.,
palm,The inner surface of the hand from the wrist to the base of the fingers.,
pan,Cooking utensil consisting of a wide metal vessel.,
pancake,A flat cake of thin batter fried on both sides on a griddle.,
pandemic,An epidemic that is geographically widespread; occurring throughout a region or even throughout the world.,World War I might have continued indefinitely if not for a pandemic outbreak of influenza.
panel,Sheet that forms a distinct (usually flat and rectangular) section or component of something.,Behind the picture was a panel on the wall.
panic,An overwhelming feeling of fear and anxiety.,
pants,Underpants worn by women.,she was afraid that her bloomers might have been showing
papaya,Tropical american shrub or small tree having huge deeply palmately cleft leaves and large oblong yellow fruit.,
paper,A material made of cellulose pulp derived mainly from wood or rags or certain grasses.,"a paper of pins, tacks, opium, etc."
paperless,Without paper.,The paperless walls of the bedroom looked grey and cheerless.
paperwork,Work that involves handling papers: forms or letters or reports etc.,
parachute,Rescue equipment consisting of a device that fills with air and retards your fall.,The soldiers were parachuted behind enemy lines.
parade,A ceremonial procession including people marching.,"The floats and horses in the parade were impressive, but the marching bands were really amazing."
paradise,Any place of complete bliss and delight and peace.,Living in paradise comes with a price.
paradox,(logic) a statement that contradicts itself.,`I always lie' is a paradox because if it is true it must be false
paragraph,One of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line.,
paralysis,Loss of the ability to move a body part.,The government has been in a paralysis since it lost its majority in the parliament.
paralyze/paralyse,Make powerless and unable to function.,The bureaucracy paralyzes the entire operation
paramedic,A person trained to assist medical professionals and to give emergency medical treatment.,
paratrooper,A soldier in the paratroops.,
parcel,A wrapped container.,I saw a brown paper parcel on my doorstep.
pardon,The act of excusing a mistake or offense.,
parent,A father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian.,
parental,Designating the generation of organisms from which hybrid offspring are produced.,"Nowadays there are all kinds of potential parentals besides parents, grandparents, aunts and uncles, step-parents, in-laws, older siblings and cousins, and those in civil unions."
park,A large area of land preserved in its natural state as public property.,there are laws that protect the wildlife in this park
parking,Space in which vehicles can be parked.,there is plenty of parking behind the store
parliament,A legislative assembly in certain countries.,"Following the general election, Jane Doe took her oath of office as a member of the nation's fifth parliament."
parrot,Usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds.,I bought a wonderful parrot at the pet store.
part,Something determined in relation to something that includes it.,he wanted to feel a part of something bigger than himself
partial,The derivative of a function of two or more variables with respect to a single variable while the other variables are considered to be constant.,"So far, I have only pieced together a partial account of the incident."
participant,Someone who takes part in an activity.,All participants must adhere to the rules of the competition.
participate,Share in something.,
participation,The act of sharing in the activities of a group.,the teacher tried to increase his students' engagement in class activities
participle,A non-finite form of the verb; in english it is used adjectivally and to form compound tenses.,
particle,(nontechnical usage) a tiny piece of anything.,
particular,A fact about some part (as opposed to general).,he always reasons from the particular to the general
particularly,To a distinctly greater extent or degree than is common.,he was particularly fussy about spelling
partisan,A fervent and even militant proponent of something.,"partisan officer, partisan corps"
partly,In part; in some degree; not wholly.,I felt partly to blame
partner,A person's partner in marriage.,
partnership,The members of a business venture created by contract.,
part-time,Involving less than the standard or customary time for an activity.,part-time employees
party,An organization to gain political power.,in 1992 Perot tried to organize a third party at the national level
pass,(baseball) an advance to first base by a batter who receives four balls.,he worked the pitcher for a base on balls
passage,The act of passing from one state or place to the next.,She struggled to play the difficult passages.
passenger,A traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it.,Somebody in a team who does not do their fair share of the work.
passion,A strong feeling or emotion.,We share a passion for books.
passionate,Having or expressing strong emotions.,
passionately,With passion.,she kissed him passionately
passive,The voice used to indicate that the grammatical subject of the verb is the recipient (not the source) of the action denoted by the verb.,`The ball was thrown by the boy' uses the passive voice
passport,Any authorization to pass or go somewhere.,the pass to visit had a strict time limit
password,A secret word or phrase known only to a restricted group.,he forgot the password
past,The time that has elapsed.,forget the past
pasta,A dish that contains pasta as its main ingredient.,
pastor,A person authorized to conduct religious worship.,clergymen are usually called ministers in Protestant churches
pastoral,A musical composition that evokes rural life.,We were living a pastoral life.
patch,A small contrasting part of something.,a bald spot
path,A course of conduct.,the path of virtue
patience,Good-natured tolerance of delay or incompetence.,
patient,A person who requires medical care.,the number of emergency patients has grown rapidly
patiently,With patience; in a patient manner.,he patiently played with the child
patriot,One who loves and defends his or her country.,
patriotic,Inspired by love for your country.,a patriotic song
patriotism,Love of country and willingness to sacrifice for it.,they rode the same wave of popular patriotism
patrol,A detachment used for security or reconnaissance.,a customs patrol
patron,A regular customer.,This car park is for patrons only.
pattern,A perceptual structure.,the composition presents problems for students of musical form
pause,A time interval during which there is a temporary cessation of something.,Teach the pupil to mind the pauses.
pave,A setting with precious stones so closely set that no metal shows.,
pavement,The paved surface of a thoroughfare.,
paw,A clawed foot of an animal especially a quadruped.,Get your grubby paws off my things!
pawnbroker,A person who lends money at interest in exchange for personal property that is deposited as security.,
pawnshop,A shop where loans are made with personal property as security.,
pay,Something that remunerates.,wages were paid by check
payment,A sum of money paid or a claim discharged.,
PC,A small digital computer based on a microprocessor and designed to be used by one person at a time.,only a small percent attain the top ranks
pea,Seed of a pea plant used for food.,
peace,The state prevailing during the absence of war.,Our lounge strives to maintain an environment of peace for the comfort of our customers.
peaceful,Not disturbed by strife or turmoil or war.,a peaceful nation
peacefully,In a peaceful manner.,the hen settled herself on the nest most peacefully
peach,Cultivated in temperate regions.,
peak,The most extreme possible amount or value.,voltage peak
peanut,Underground pod of the peanut vine.,
pear,Sweet juicy gritty-textured fruit available in many varieties.,
pearl,A smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel.,to pearl barley
pebble,A small smooth rounded rock.,Brazilian pebble
peculiar,Beyond or deviating from the usual or expected.,a curious hybrid accent
pedal,A sustained bass note.,A piano usually has two or three pedals.
pedantic,Marked by a narrow focus on or display of learning especially its trivial aspects.,
pedestrian,A person who travels by foot.,pedestrian crossing
pee,Liquid excretory product.,there was blood in his urine
peel,British politician (1788-1850).,"I sat by my sister's bed, peeling oranges for her."
peep,The short weak cry of a young bird.,I don't want to hear a peep out of you!
peer,A person who is of equal standing with another in a group.,
peg,A wooden pin pushed or driven into a surface.,Hang your coat on the peg and come in.
pen,A writing implement with a point from which ink flows.,There are two steers in the third pen.
penalize/penalise,Impose a penalty on; inflict punishment on.,The students were penalized for showing up late for class
penalty,The act of punishing.,The penalty for his crime was to do hard labor.
pence,A fractional monetary unit of ireland and the united kingdom; equal to one hundredth of a pound.,to turn an honest penny
pencil,A thin cylindrical pointed writing implement; a rod of marking substance encased in wood.,I penciled (BrE: pencilled) a brief reminder in my notebook.
penetrate,"Pass into or through, often by overcoming resistance.",The bullet penetrated her chest
penfriend/pen friend,"A person, often in a foreign country, with whom one exchanges friendly correspondence but whom one never or rarely meets.",
penguin,Short-legged flightless birds of cold southern especially antarctic regions having webbed feet and wings modified as flippers.,
penicillin,Any of various antibiotics obtained from penicillium molds (or produced synthetically) and used in the treatment of various infections and diseases.,
penniless,Not having enough money to pay for necessities.,
penny,A fractional monetary unit of ireland and the united kingdom; equal to one hundredth of a pound.,to turn an honest penny
pension,A regular payment to a person that is intended to allow them to subsist without working.,Many old people depend on their pension to pay the bills.
pentagon,A government building with five sides that serves as the headquarters of the united states department of defense.,
people,(plural) any group of human beings (men or women or children) collectively.,old people
pepper,Climber having dark red berries (peppercorns) when fully ripe; southern india and sri lanka; naturalized in northern burma and assam.,"Some ballparks have signs saying ""No pepper games""."
per,For each.,$2.50 per dozen
perceive,To become aware of through the senses.,I could perceive the ship coming over the horizon
percent/per cent,A proportion in relation to a whole (which is usually the amount per hundred).,only a small percent attain the top ranks
percentage,A proportion in relation to a whole (which is usually the amount per hundred).,A high percentage of secondary school leavers take a gap year.
perception,The representation of what is perceived; basic component in the formation of a concept.,
perfect,A tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect).,a perfect circle
perfectly,Completely and without qualification; used informally as intensifiers.,an absolutely magnificent painting
perform,Carry out or perform an action.,"John did the painting, the weeding, and he cleaned out the gutters"
performance,A dramatic or musical entertainment.,they listened to ten different performances
performer,An entertainer who performs a dramatic or musical work for an audience.,the performer of an action
perfume,A distinctive odor that is pleasant.,
perhaps,By chance.,perhaps she will call tomorrow
period,An amount of time.,a time period of 30 years
permanence,The property of being able to exist for an indefinite duration.,
permanent,A series of waves in the hair made by applying heat and chemicals.,Nothing in this world is truly permanent.
permanently,For a long time without essential change.,he is permanently disabled
permeate,Spread or diffuse through.,An atmosphere of distrust has permeated this administration
permission,Approval to do something.,he asked permission to leave
permit,A legal document giving official permission to do something.,A construction permit can be obtained from the town offices.
perseverance,Persistent determination.,
persist,Continue to exist.,These stories die hard
persistence,The property of a continuous and connected period of time.,You've got to admire his persistence. He's asked her out every day for a month even though she keeps turning him down.
persistent,Never-ceasing.,the relentless beat of the drums
person,A human being.,there was too much for one person to do
personal,A short newspaper article about a particular person or group.,Her song was her personal look at the values of friendship.
personality,"The complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual.",their different reactions reflected their very different personalities
personally,As yourself.,"speaking personally, I would not want to go"
personification,A person who represents an abstract quality.,she is the personification of optimism
personify,Invest with or as with a body; give body to.,Mozart could be said to personify musical genius.
personnel,Group of people willing to obey orders.,a public force is necessary to give security to the rights of citizens
